plant_name,country,fuel_group,capacity_mw,latitude,longitude
Northwest Kabul Power Plant Afghanistan,AFG,gas,42.0,34.5638,69.1134
Ain Djasser,DZA,gas,520.0,35.8665,6.0262
Annaba,DZA,gas,71.0,36.8924,7.7634
Arbaa,DZA,gas,560.0,36.5988,3.1375
Boufarik 1,DZA,gas,100.0,36.5914,2.9223
Boufarik 2,DZA,gas,450.0,36.596,2.878
Boutelilis,DZA,gas,450.0,35.5658,-0.9386
F'Krina,DZA,gas,292.0,35.7666,7.3619
Hadjret Ennous,DZA,gas,1200.0,36.5767,2.0797
Hamma 2,DZA,gas,418.0,36.7489,3.0823
Hassi Messaoud Mobile,DZA,gas,72.0,31.6703,6.0531
Hassi Messoud,DZA,gas,600.0,31.6703,6.0531
Hassi Messoud Nord 2,DZA,gas,200.0,31.7877,6.0517
Hassi Messoud Ouest,DZA,gas,492.0,31.8065,5.9924
Jijel,DZA,gas,588.0,36.8139,5.876
Kahrama IPP,DZA,gas,345.0,35.8064,-0.2476
Koudiet Eddraouch,DZA,gas,1200.0,36.885,8.0778
Labreg,DZA,gas,396.0,34.5056,6.9848
Marsat,DZA,gas,840.0,35.8,-0.1924
Marsat TG,DZA,gas,184.0,35.8,-0.1924
Msila 1,DZA,gas,980.0,35.7071,4.4804
Ras Djinet,DZA,gas,672.0,36.8509,3.6983
Ravin Blanc,DZA,gas,73.0,35.7095,-0.6319
Relizane,DZA,gas,465.0,35.7835,0.5407
SKB IPP,DZA,gas,484.0,36.1399,2.9296
SKS IPP SNC Lavalin,DZA,gas,815.0,36.8789,6.9366
SPP1 Thermal,DZA,gas,150.0,32.9475,3.238
Skikda,DZA,gas,262.0,36.88,6.935
Terga,DZA,gas,1200.0,35.4608,-1.2295
Tiaret,DZA,gas,300.0,35.3396,1.3562
Tilghemt 1,DZA,gas,200.0,33.1319,3.348
Tilghemt 2,DZA,gas,600.0,33.1377,3.3678
Biopio,AGO,oil,22.8,-12.4706,13.7319
Cazenga,AGO,gas,132.0,-8.8383,13.2344
Huambo,AGO,oil,16.26,-12.76,15.75
Lobito,AGO,gas,20.0,-12.37,13.57
Luanda Diesel,AGO,oil,58.0,-8.8383,13.2344
Luanda Refinery,AGO,oil,18.5,-8.8383,13.2344
Malongo,AGO,oil,10.0,-5.55,12.2
Namibe,AGO,gas,11.68,-15.1961,12.1522
Xitoto,AGO,oil,11.34,-15.3333,15.0
McMurdo Station Generator,ATA,oil,6.6,-77.847,166.6605
AGUA DEL CAJON (GENERADOR DEL MEM),ARG,gas,192.0,-38.9368,-68.3556
ALMIRANTE BROWN,ARG,oil,25.0,-34.8386,-58.4033
ALTO VALLE,ARG,gas,97.5,-38.9524,-68.0218
ALUMINE,ARG,oil,1.904,-39.2145,-70.9157
BANDERA,ARG,oil,31.0,-23.8219,-64.7847
BARILOCHE (PUERTO  MORENO),ARG,oil,5.736000000000001,-41.1167,-71.4167
BERNARDO  DE IRIGOYEN,ARG,oil,2.096,-26.2545,-53.6469
C.T. RUFINO,ARG,oil,31.9,-34.2605,-62.7107
C.T. SAN VICENTE,ARG,oil,27.6,-35.0241,-58.4237
CAA CATI,ARG,oil,1.415,-27.7534,-57.6205
CACHI,ARG,oil,1.07,-25.1089,-66.2106
CAFAYATE,ARG,oil,4.182,-26.0715,-65.9876
CAPITAL CATAMARCA - PREDIO CHOYA,ARG,oil,5.728,-28.4537,-65.7841
CAPITAL CATAMARCA - PREDIO EX CARCEL,ARG,oil,7.075,-28.4773,-65.7872
CAPITAL CATAMARCA - PREDIO RIPIERA,ARG,oil,4.675,-28.4684,-65.7797
CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,ARG,coal,620.0,-38.7872,-62.2536
CENTRAL LOMA DE LA LATA SA,ARG,gas,540.0,-38.5127,-68.6048
CENTRAL PARQUE INDUSTRIAL LA BANDA,ARG,oil,11.228,-38.062,-67.9463
CENTRAL T.GENELBA,ARG,gas,673.6,-34.9027,-58.7334
CENTRAL T.GENELBA PLUS,ARG,gas,164.55,-34.9027,-58.7334
CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),ARG,gas,280.0,-31.7112,-60.7811
CENTRAL TERMICA DE CICLO COMBINADO SALTA,ARG,gas,643.0,-24.7456,-65.0513
CENTRAL TERMICA GÜEMES SA,ARG,coal,361.0,-24.6894,-65.0425
CENTRAL TERMICA LA BANDA,ARG,gas,32.0,-27.7528,-64.2655
CENTRAL TERMICA PIQUIRENDA SA,ARG,oil,30.44,-22.3497,-63.7664
CENTRAL TERMICA REMEDIOS DE ESCALADA,ARG,oil,25.0,-34.7208,-58.3881
CENTRAL TERMOELECTRICA GUILLERMO BROWN,ARG,gas,524.0,-34.6268,-58.5438
CENTRAL TERMOELECTRICA MANUEL BELGRANO,ARG,gas,868.2,-24.6894,-65.0425
CENTRAL TERMOELECTRICA TIMBUES,ARG,gas,865.1400000000001,-32.5778,-60.791
CHILECITO,ARG,oil,5.0,-29.1578,-67.5069
COMANDANTE ANDRESITO,ARG,oil,2.372,-25.6669,-54.0419
COMODORO RIVADAVIA,ARG,gas,141.02,-25.9913,-54.6278
CORRIENTES,ARG,oil,1.4,-27.4708,-58.8042
COSTANERA,ARG,coal,1982.2,-34.626,-58.3393
CRUZ DE PIEDRA,ARG,gas,17.94,-33.0349,-68.7971
CRUZ DEL EJE,ARG,oil,5.052,-30.7636,-64.7538
CT 13 DE JULIO,ARG,gas,26.0,-32.1613,-64.1537
CT ALEM,ARG,oil,15.0,-43.0907,-65.2298
CT ALUMINE,ARG,oil,6.3,-38.8706,-70.5753
CT ARISTOBULO DEL VALLE,ARG,oil,15.0,-27.0922,-54.8625
CT ARRECIFES,ARG,oil,20.0,-34.0414,-60.1297
CT AÑATUYA,ARG,oil,19.2,-28.4431,-62.8569
CT AÑATUYA II,ARG,oil,11.5,-28.4431,-62.8569
CT BARILOCHE,ARG,oil,20.0,-41.1497,-71.2633
CT BELL VILLE,ARG,oil,15.62,-32.6103,-62.6864
CT BRAGADO,ARG,gas,49.8,-35.1364,-60.4311
CT CAPITAN SARMIENTO,ARG,oil,5.0,-34.1636,-59.7683
CT CATAMARCA,ARG,oil,19.2,-28.4706,-65.7647
CT CAVIAHUE,ARG,oil,5.0,-38.0528,-70.6136
CT CERES,ARG,oil,18.0,-29.8883,-61.9297
CT CHARATA,ARG,oil,19.4,-27.2369,-61.1939
CT CHILECITO,ARG,oil,10.0,-29.1581,-67.5072
CT CIPOLLETTI,ARG,oil,5.0,-38.9133,-67.9414
CT COLON BUENOS AIRES,ARG,oil,15.3,-33.9222,-61.0769
CT CONCEPCION DEL URUGUAY,ARG,gas,41.78,-32.4767,-58.2672
CT CORRIENTES,ARG,oil,20.0,-27.4708,-58.8042
CT ECOENERGIA (PETROBRAS),ARG,coal,13.2,-38.6871,-62.3961
CT ENSENADA DE BARRAGAN,ARG,gas,567.0,-34.8597,-57.9557
CT ESQUINA,ARG,oil,16.5,-30.055,-59.5294
CT FORMOSA II,ARG,oil,30.0,-26.1764,-58.2094
CT GENERAL VILLEGAS,ARG,oil,23.49,-35.0347,-62.9981
CT GOYA,ARG,oil,13.0,-29.1583,-59.2728
CT INDEPENDENCIA,ARG,gas,120.0,-26.8666,-65.2247
CT INGENIERO JUAREZ,ARG,oil,4.0,-23.9078,-61.8342
CT INTA CATAMARCA,ARG,oil,7.04,-28.4733,-65.7275
CT ISLA VERDE,ARG,oil,24.5,-33.2425,-62.395
CT JUAN JOSE CASTELLI,ARG,oil,15.0,-25.9564,-60.6204
CT JUNIN,ARG,oil,22.0,-34.5708,-60.9161
CT LA PLATA,ARG,oil,40.4,-34.9344,-58.016
CT LA RIOJA DELIVERY,ARG,oil,19.2,-29.3811,-66.8325
CT LA RIOJA SUR,ARG,oil,10.0,-29.3808,-66.8319
CT LAGUNA BLANCA,ARG,oil,7.0,-25.1286,-58.2597
CT LAS ARMAS,ARG,gas,10.4,-37.0781,-57.8181
CT LAS ARMAS II,ARG,gas,23.37,-37.0781,-57.8181
CT LAS PALMAS,ARG,oil,6.0,-27.0289,-58.6997
CT LIBERTADOR GENERAL SAN MARTIN,ARG,oil,15.0,-40.8421,-68.0869
CT LINCOLN,ARG,oil,15.002,-34.8578,-61.5206
CT LOBOS,ARG,oil,15.686,-35.1917,-59.0808
CT MAGDALENA,ARG,oil,25.0,-35.1001,-57.4839
CT MATHEU,ARG,gas,41.0,-34.3931,-58.8372
CT MEDANITOS (RINCON DE LOS SAUCES),ARG,oil,32.0,-37.4102,-68.9
CT MIRAMAR I,ARG,oil,20.0,-38.2472,-57.8242
CT OLAVARRIA,ARG,gas,38.8,-36.9439,-60.2361
CT ORAN,ARG,oil,15.0,-23.1258,-64.3069
CT PARANA,ARG,gas,40.0,-31.7764,-60.4553
CT PARQUE INDUSTRIAL CATAMARCA,ARG,oil,15.0,-28.5339,-65.7997
CT PASO DE LA PATRIA,ARG,oil,7.2,-27.3236,-58.5667
CT PEHUAJO,ARG,oil,22.4,-35.8336,-61.8758
CT PINAMAR,ARG,gas,21.0,-37.0953,-56.8789
CT PIRANE,ARG,oil,16.25,-25.6786,-59.0756
CT PLUSPETROL NORTE,ARG,gas,246.0,-26.9955,-65.166
CT RAFAELA,ARG,oil,19.2,-31.2567,-61.5203
CT REALICO,ARG,oil,24.0,-35.055,-64.2406
CT ROCA,ARG,gas,130.0,-31.8919,-60.0106
CT SAENZ PEÑA  I,ARG,oil,20.0,-26.8156,-60.4114
CT SAENZ PEÑA  II,ARG,oil,15.0,-26.8153,-60.4125
CT SALTO,ARG,oil,22.5,-27.4597,-65.6055
CT SAN MARTIN NORTE III,ARG,oil,5.1000000000000005,-34.5252,-58.6206
CT SAN MIGUEL DE TUCUMAN,ARG,gas,396.62,-26.9955,-65.166
CT SAN MIGUEL NORTE III,ARG,oil,11.5,-34.5252,-58.6206
CT SANTA ROSA,ARG,oil,6.0,-28.2628,-58.0006
CT TARTAGAL,ARG,oil,10.0,-22.5406,-63.8056
CT TEREVINTOS,ARG,oil,8.0,-28.4289,-65.7878
CT TINOGASTA,ARG,oil,15.0,-28.0486,-67.5667
CT TUCUMAN,ARG,gas,438.0,-26.9955,-65.166
CT VENADO TUERTO,ARG,oil,19.2,-33.7736,-61.9564
CT VIALE,ARG,oil,10.0,-31.8919,-60.0106
CT VILLA ANGELA,ARG,oil,15.0,-27.5808,-60.7094
CT VILLA REGINA,ARG,oil,5.0,-39.0872,-67.0881
DEAN FUNES,ARG,gas,70.12,-31.3934,-64.2059
DIQUE,ARG,gas,68.44,-34.8902,-57.933
DOCK SUD,ARG,gas,872.3,-34.6533,-58.342
ESQUINA,ARG,oil,2.215,-30.0102,-59.5321
EX CENTRAL BUENOS AIRES,ARG,gas,321.0,-34.627,-58.3382
FILO MORADO,ARG,gas,67.5,-37.2742,-69.652
GENERACION FRIAS SA,ARG,gas,60.0,-28.6072,-65.1228
GENERAL LEVALLE,ARG,gas,72.78,-34.0364,-63.9217
GOYA,ARG,oil,1.33,-29.1388,-59.2277
GOYA (ELECTROPATAGONIA SA),ARG,gas,17.3,-29.1388,-59.2277
ISLA VERDE,ARG,oil,3.115,-33.2422,-62.3946
ITA IBATE,ARG,oil,1.052,-27.4252,-57.3341
ITUZAINGO,ARG,oil,1.33,-27.5785,-56.6726
LA CRUZ,ARG,oil,1.33,-29.1762,-56.6394
LA PLATA COGENERACION,ARG,gas,128.0,-34.889,-57.9206
LA RIOJA,ARG,oil,42.0,-29.3823,-66.8325
LA TABLADA,ARG,gas,22.15,-27.4184,-55.9097
LUJAN DE CUYO,ARG,gas,549.76,-33.0551,-68.981
MAR DE AJO,ARG,gas,34.0,-36.7208,-63.1977
MAR DEL PLATA (9 DE JULIO),ARG,gas,201.3,-38.0495,-57.546
MBURUCUYA,ARG,oil,1.035,-28.0441,-58.2285
MERCEDES,ARG,oil,2.308,-29.1808,-58.0793
MODESTO MARANZANA,ARG,gas,250.0,-33.1608,-64.3656
NECOCHEA,ARG,coal,206.0,-38.5785,-58.7108
NUEVA ESPERANZA,ARG,oil,3.38,-26.2072,-64.2477
NUEVO PUERTO,ARG,gas,1217.7,-34.5721,-58.3835
OBERA (TG Nº21 FIAT ),ARG,gas,17.2,-27.5019,-55.1245
ORENSE,ARG,oil,1.72,-38.6851,-59.7804
PASO DE LOS LIBRES,ARG,oil,2.135,-29.7148,-57.0933
PATAGONIA,ARG,gas,123.7,-45.7934,-67.5145
PERUGORRIA,ARG,oil,1.11,-29.34,-58.6077
PICO TRUNCADO I,ARG,gas,45.6,-46.7842,-67.9498
PILAR  BICENTENARIO,ARG,gas,467.0,-31.6651,-63.8314
PILAR ZANICHELLI,ARG,coal,216.0,-31.6662,-63.8344
PRESIDENTE SARMIENTO,ARG,gas,31.5,-31.5129,-68.5399
PUERTO MADRYN,ARG,gas,42.0,-42.7069,-65.1048
PUERTO NUEVO,ARG,coal,589.0,-34.5754,-58.3788
RIO CUARTO,ARG,gas,35.57,-33.1614,-64.3649
SAN FRANCISCO,ARG,gas,40.0,-31.4391,-62.1119
SAN MARTIN DE LOS ANDES,ARG,oil,4.218,-40.1511,-71.334
SAN NICOLAS,ARG,coal,644.0,-33.3562,-60.1729
SAN PEDRO,ARG,oil,2.216,-26.6253,-54.1102
SANTA ISABEL,ARG,oil,2.25,-36.2314,-66.9381
SANTO TOME,ARG,oil,2.684,-28.5497,-56.0722
SORRENTO,ARG,coal,226.0,-32.9053,-60.6807
SUDOESTE,ARG,gas,140.0,-31.463,-64.2388
TARTAGAL,ARG,gas,17.0,-22.5099,-63.797
TENARIS SIDERCA CETE II,ARG,gas,163.20000000000002,-33.3655,-60.1435
TOSTADO,ARG,oil,3.2,-29.2352,-61.7577
VENADO TUERTO,ARG,oil,9.1,-33.7777,-61.9555
VILLA GESELL,ARG,gas,130.0,-37.2487,-56.9973
VILLA MARIA (LAS PLAYAS),ARG,gas,48.0,-39.0872,-67.0881
VUELTA DE OBLIGADO,ARG,gas,560.0,-32.5807,-60.7903
Hrazadan,ARM,gas,1110.0,40.564,44.7479
New Yerevan,ARM,gas,271.0,40.1152,44.4973
Yerevan,ARM,gas,550.0,40.1138,44.5038
Amcor Gawler,AUS,oil,4.0,-34.5509,138.7659
Angaston,AUS,oil,50.0,-34.5034,139.0246
Anglesea,AUS,coal,165.0,-38.3861,144.1828
Angurugu,AUS,oil,3.6,-13.8584,136.4209
Appin (Mine),AUS,gas,55.6,-34.2082,150.7722
Argyle Diamond Mine,AUS,oil,32.0,-16.7162,128.4031
Bairnsdale,AUS,gas,94.0,-37.8429,147.5639
Ballarat Base Hospital,AUS,gas,3.0,-37.5596,143.8469
Bankstown Sports Club,AUS,oil,2.0,-33.9197,151.0332
Barcaldine (Len Wishaw),AUS,gas,37.0,-23.5525,145.3142
Bayswater,AUS,coal,2640.0,-32.3953,150.9491
Bell Bay (Bell Bay Three),AUS,gas,115.0,-41.1429,146.903
Berrimah,AUS,gas,10.0,-12.4262,130.9195
Bidyadanga,AUS,oil,1.3,-18.6816,121.7848
Blue Lake Milling Power Plant,AUS,oil,1.0,-36.3164,140.7575
Braemar 1,AUS,gas,504.0,-27.1109,150.9053
Braemar 2,AUS,gas,519.0,-27.1128,150.9049
Bremer Bay Diesel Backup,AUS,oil,1.3,-34.4018,119.3888
Brewer,AUS,gas,8.5,-23.8817,133.8281
Broken Hill,AUS,gas,50.0,-31.9863,141.4203
Broome,AUS,gas,39.6,-17.981,122.2046
Bulwer Island,AUS,gas,33.0,-27.4036,153.1363
Burrup Peninsula (Karratha Gas Plant),AUS,gas,240.0,-20.6286,116.7821
Burrup Peninsula (Pluto Phase 1),AUS,gas,160.0,-20.5937,116.7802
Callide A,AUS,coal,30.0,-24.334,150.628
Callide B,AUS,coal,700.0,-24.3449,150.6197
Callide C,AUS,coal,840.0,-24.3449,150.6182
Camballin,AUS,gas,1.04,-18.0278,124.1621
Cannington Mine,AUS,gas,40.0,-21.8601,140.9158
Cape Lambert,AUS,gas,105.0,-20.6488,117.1407
Cape Preston,AUS,gas,450.0,-21.0767,116.159
Capral (Aluminium Smelter),AUS,gas,300.0,-32.7897,151.4813
Carnarvon,AUS,gas,15.0,-24.8692,113.6754
Cawse Nickel Mine,AUS,gas,21.0,-30.3808,121.1635
Channel Island,AUS,gas,310.0,-12.555,130.8666
Charlestown Square,AUS,gas,2.8,-32.9643,151.6936
Christmas Creek Iron Ore Mine,AUS,oil,58.0,-22.399,119.732
Cloudbreak,AUS,oil,44.0,-22.3247,119.404
Cockburn,AUS,gas,240.0,-32.2001,115.7737
Collie (Bluewaters),AUS,coal,416.0,-33.331,116.229
Collie A,AUS,coal,340.0,-33.3422,116.2612
Collinsville,AUS,coal,190.0,-20.5447,147.8049
Colongra,AUS,gas,724.0,-33.2099,151.5448
Condamine A,AUS,gas,144.0,-26.6682,150.27
Coral Bay Diesel Backup,AUS,oil,2.24,-23.1521,113.7762
Daandine,AUS,gas,33.0,-27.0863,150.943
Dampier,AUS,gas,120.0,-20.648,116.7219
Darling Downs,AUS,gas,644.0,-27.1169,150.8942
Darlot Gold Mine,AUS,gas,11.7,-27.8972,121.2698
Denham Diesel Backup,AUS,oil,1.6,-25.9167,113.534
Derby,AUS,gas,12.53,-17.3141,123.6441
Diamantina,AUS,gas,242.0,-20.7837,139.4833
Dry Creek,AUS,gas,156.0,-34.8475,138.5818
Elliott,AUS,oil,1.0,-17.5504,133.5393
Energy Brix,AUS,coal,195.0,-38.2546,146.4137
Eraring,AUS,oil,41.5,-33.0617,151.5223
Esperance,AUS,gas,33.0,-33.8762,121.8998
Exmouth,AUS,gas,8.0,-21.9465,114.125
Fitzroy Crossing,AUS,gas,4.06,-18.1956,125.5597
Geraldton,AUS,gas,21.0,-28.7701,114.6485
German Creek,AUS,gas,45.2,-22.9281,148.5515
Gladstone,AUS,coal,1680.0,-23.8508,151.2187
Glennies Creek,AUS,gas,13.0,-32.4598,151.1286
Hallett,AUS,gas,228.3,-33.3487,138.7517
Halls Creek,AUS,gas,3.69,-18.2328,127.6619
Hazelwood,AUS,coal,1600.0,-38.2731,146.3923
Hopetoun Diesel Backup,AUS,oil,1.3,-33.905,120.1299
Hunter,AUS,oil,29.0,-32.836,151.4505
Hunter Valley,AUS,gas,50.0,-32.3893,150.9664
Jeeralang A,AUS,gas,204.0,-38.2753,146.4263
Jeeralang B,AUS,gas,228.0,-38.2746,146.4249
Jundee Gold Mine,AUS,gas,21.0,-26.3712,120.5776
KRC Cogeneration Plant,AUS,gas,4.2,-27.4453,153.1185
Kalamunda,AUS,oil,1.3,-31.9768,115.9988
Kalgoorlie (Parkeston),AUS,gas,110.0,-30.7378,121.5065
Kalgoorlie Nickel Smelter,AUS,gas,42.0,-30.8737,121.4842
Kambalda,AUS,gas,42.0,-31.1919,121.6741
Karratha,AUS,gas,86.0,-20.7626,116.8375
Katherine,AUS,gas,34.7,-14.4587,132.2445
Kemerton,AUS,gas,260.9,-33.1633,115.7805
King Island (Currie),AUS,oil,8.55,-39.9388,143.892
Kogan Creek,AUS,coal,744.0,-26.9177,150.7493
Kununurra,AUS,oil,12.4,-15.7796,128.7395
Kwinana,AUS,gas,21.0,-32.197,115.7759
Kwinana (Alcoa Refinery),AUS,gas,74.5,-32.1946,115.7797
Kwinana Cogeneration,AUS,gas,123.0,-32.2225,115.7661
Kwinana High Efficiency Gas Turbine Plant,AUS,gas,200.0,-32.1973,115.7754
Kwinana NewGen,AUS,gas,320.0,-32.202,115.7728
Kwinana Swift,AUS,gas,120.0,-32.2243,115.7783
Ladbroke Grove,AUS,gas,80.0,-37.4567,140.7827
Laverton,AUS,oil,1.5,-28.6216,122.3965
Laverton (Granny Smith Gold Mine),AUS,oil,30.6,-28.8096,122.415
Laverton North,AUS,gas,312.0,-37.8416,144.7887
Leichhardt,AUS,gas,60.0,-20.7835,139.4864
Leinster Nickel Mine,AUS,gas,59.0,-27.8141,120.699
Leonora,AUS,gas,4.43,-28.8811,121.3213
Liddell,AUS,coal,2200.0,-32.3713,150.9776
Longford,AUS,gas,31.0,-38.2236,147.1657
Lonsdale,AUS,oil,20.0,-35.1097,138.491
Loy Yang A,AUS,coal,2180.0,-38.2536,146.5746
Loy Yang B,AUS,coal,1000.0,-38.2564,146.5864
Mackay,AUS,gas,30.0,-21.1446,149.1591
Marble Bar Diesel Backup,AUS,oil,1.28,-21.1649,119.7419
McArthur River Mine,AUS,gas,78.0,-16.4335,136.0935
Meekatharra,AUS,oil,2.9,-26.5952,118.483
Melbourne,AUS,gas,1.2,-37.8086,144.9685
Merredin,AUS,gas,82.0,-31.5423,118.227
Mica Creek,AUS,gas,325.0,-20.7776,139.4906
Millmerran,AUS,coal,856.0,-27.9615,151.2789
Mintaro,AUS,gas,90.0,-33.9031,138.7383
Moranbah,AUS,gas,12.56,-21.9851,148.0246
Moranbah North,AUS,gas,45.7,-21.8967,147.9507
Mortlake,AUS,gas,566.0,-38.0632,142.6675
Mount Keith Nickel Mine,AUS,gas,112.0,-27.2146,120.548
Mount Magnet,AUS,gas,1.9,-28.0871,117.8327
Mount Stuart,AUS,oil,423.0,-19.338,146.8512
Mt Piper,AUS,coal,1400.0,-33.3589,150.0313
Muja C,AUS,coal,400.0,-33.446,116.3062
Muja D,AUS,coal,454.0,-33.4464,116.3074
Mungarra,AUS,gas,112.0,-28.8893,115.1177
Mungullah,AUS,gas,18.0,-24.8911,113.7095
Munmorah,AUS,coal,600.0,-33.2117,151.5418
Murrin Murrin (Nickel Mine),AUS,gas,78.0,-28.9238,121.3293
Neerabup,AUS,gas,330.0,-31.6712,115.8021
Newman Iron Ore Mine,AUS,gas,170.0,-23.3443,119.7086
Newport,AUS,gas,500.0,-37.8415,144.8942
Nhulunbuy,AUS,oil,24.0,-12.1889,136.6872
Nine Network,AUS,oil,3.2,-33.811,151.1966
Norseman Mine,AUS,oil,9.0,-32.1963,121.7943
North Sydney,AUS,gas,2.4,-33.8398,151.2069
Oakey,AUS,gas,282.0,-27.4183,151.6797
Oaky Creek,AUS,gas,20.0,-22.9878,148.5817
Onslow,AUS,gas,3.6,-21.6582,115.099
Osborne,AUS,gas,180.0,-34.798,138.5079
Owen Springs,AUS,gas,36.0,-23.8636,133.8255
Paraburdoo,AUS,gas,155.0,-23.2233,117.6133
Paraburdoo (Standby),AUS,gas,20.0,-23.2238,117.6137
Pelican Point,AUS,gas,478.0,-34.765,138.5053
Pine Creek,AUS,gas,34.76,-13.7856,131.8624
Pinjar,AUS,gas,576.0,-31.5568,115.8204
Pinjarra Bauxite Mine and Alumina Refinery,AUS,gas,280.0,-32.6473,115.9469
Plutonic Gold Mine,AUS,gas,28.0,-25.311,119.4508
Port Hedland,AUS,gas,126.0,-20.4283,118.5498
Port Hedland (Smaller),AUS,gas,84.0,-20.3782,118.5384
Port Lincoln,AUS,oil,73.5,-34.7003,135.8044
Port Stanvac,AUS,oil,57.6,-35.1104,138.4915
Quarantine,AUS,gas,224.0,-34.7793,138.5224
Ravensthorpe,AUS,oil,56.0,-33.61,120.36
Redbank,AUS,coal,150.0,-32.5802,151.0719
Revesby Workers Club,AUS,oil,2.5,-33.9534,151.0137
Roma,AUS,gas,80.0,-26.5772,148.8402
Ron Goodin,AUS,gas,44.6,-23.7091,133.8912
Roy Hill,AUS,oil,6.0,-22.4812,119.9472
Savannah Nickel Mine,AUS,oil,10.8,-17.3631,128.0331
Smithfield Energy,AUS,gas,170.9,-33.85,150.9495
Snuggery,AUS,gas,63.0,-37.6646,140.4156
Solomon Iron Ore Mine,AUS,gas,125.0,-22.1581,117.9849
Somerton,AUS,gas,160.0,-37.6318,144.9531
St George Leagues Club,AUS,oil,1.0,-33.9748,151.1294
Stanwell,AUS,coal,1460.0,-23.5097,150.3195
Sunrise Dam,AUS,gas,28.4,-29.0927,122.4393
Swanbank E,AUS,gas,385.0,-27.6554,152.8179
Symex Port Melbourne,AUS,gas,5.9,-37.8298,144.9444
Tahmoor,AUS,gas,7.0,-34.2482,150.5808
Tallawarra,AUS,gas,460.0,-34.5228,150.8081
Tamar Valley,AUS,gas,390.0,-41.1401,146.9036
Tarong,AUS,coal,1400.0,-26.7824,151.9153
Tarong (Oil),AUS,oil,15.0,-26.7858,151.9172
Tarong North,AUS,coal,443.0,-26.7758,151.9146
Telfer Gold Mine,AUS,gas,159.0,-21.7129,122.2091
Tennant Creek,AUS,gas,16.7,-19.6549,134.1753
Teralba,AUS,gas,3.0,-32.9455,151.6119
Timber Creek,AUS,oil,1.0,-15.6562,130.479
Tomago Aluminium Smelter,AUS,gas,810.0,-32.8217,151.7178
Torrens Island A,AUS,gas,480.0,-34.8068,138.5213
Torrens Island B,AUS,gas,800.0,-34.8052,138.5226
Tower Mine,AUS,gas,41.2,-34.2207,150.7179
Townsville,AUS,gas,220.0,-19.2011,146.6187
Uranquinty,AUS,gas,664.0,-35.1794,147.2157
Vales Point B,AUS,coal,1360.0,-33.1607,151.5431
Valley (Peaking Facility),AUS,gas,300.0,-38.2536,146.5892
Wadeye,AUS,gas,6.8,-14.2602,129.5368
Wagerup,AUS,gas,380.0,-32.916,115.9186
Wagerup Bauxite Mine and Alumina Refinery,AUS,gas,98.0,-32.9145,115.917
Wallerawang C,AUS,coal,500.0,-33.4028,150.0833
Warmun,AUS,oil,1.3,-17.0259,128.2113
Warrego,AUS,gas,19.0,-19.4434,133.8236
Weddell,AUS,gas,86.0,-12.5771,130.9502
West Angelas Mine,AUS,gas,86.0,-23.1546,118.7245
West Illawarra Leagues Club,AUS,oil,1.0,-34.4515,150.8429
West Kalgoorlie,AUS,oil,60.0,-30.7806,121.4234
Western Suburbs Leagues Club (Campbelltown),AUS,oil,1.0,-34.0513,150.8329
Wilga Park,AUS,gas,16.0,-30.3634,149.6772
Wiluna,AUS,oil,1.3,-26.5922,120.2185
Wiluna Gold Mine,AUS,gas,21.0,-26.6316,120.2519
Windimurra Vanadium Mine,AUS,gas,23.7,-28.2933,118.5371
Wodgina,AUS,gas,13.7,-21.1739,118.6747
Worsley,AUS,coal,120.0,-33.2355,116.0688
Worsley Cogeneration,AUS,gas,106.0,-33.2365,116.0637
Xstata X41,AUS,gas,30.0,-20.7437,139.4803
Yallourn,AUS,coal,1480.0,-38.177,146.3428
Yarwun,AUS,gas,154.0,-23.8306,151.1519
Yulara,AUS,gas,10.95,-25.2323,130.9912
Yurralyi Maya (Karratha Seven Mile),AUS,gas,180.0,-20.762,116.742
Donaustadt,AUT,gas,395.0,48.2,16.4633
Simmering,AUT,gas,1272.0,48.1815,16.4334
Timelkam,AUT,gas,400.0,48.0122,13.5895
Astara ES,AZE,gas,87.0,38.456,48.875
Azerbaijan TPP,AZE,oil,2400.0,40.78,46.9901
Baku ES,AZE,gas,105.0,40.3734,49.9192
Baku TEC,AZE,gas,107.0,40.3734,49.9192
Janub,AZE,gas,780.0,39.8943,48.9173
Khachmaz ES,AZE,gas,87.0,41.4635,48.806
Sangachal ES,AZE,gas,299.0,40.1794,49.47
Shimal,AZE,gas,400.0,40.4995,50.2077
Sumqayit,AZE,gas,525.0,40.6036,49.6332
Al Dur Power and Water,BHR,gas,1540.0,25.9714,50.6076
Al Ezzel Power Station,BHR,gas,962.0,26.2175,50.6595
Alba Power Station,BHR,gas,2204.0,26.0945,50.6008
Hawar Power ad Water Station,BHR,oil,7.3,26.1981,50.5919
Hidd Power and Water station 1,BHR,gas,963.0,26.2223,50.6621
Rifa'a Power Station,BHR,gas,700.0,26.1199,50.5889
Sitra Power an Water Station,BHR,gas,1205.0,26.1833,50.6237
Amnura,BGD,oil,50.0,24.6301,88.4006
Ashuganj (Aggreko),BGD,gas,1649.0,24.0426,91.0158
Baghabari GT 1,BGD,gas,223.0,24.1361,89.5933
Barabkunda (Regent),BGD,oil,22.0,22.5713,91.6841
